split_id,bin,bin_left,bin_right,n,mean_pred,frac_pos
46,0,0.0,0.1,4,0.03380483664818941,0.0
46,1,0.1,0.2,2,0.135782161163309,0.0
46,2,0.2,0.30000000000000004,0,,
46,3,0.30000000000000004,0.4,1,0.351576579985823,0.0
46,4,0.4,0.5,0,,
46,5,0.5,0.6000000000000001,0,,
46,6,0.6000000000000001,0.7000000000000001,0,,
46,7,0.7000000000000001,0.8,0,,
46,8,0.8,0.9,0,,
46,9,0.9,1.0,7,0.9735523828823647,1.0
47,0,0.0,0.1,3,0.042820577179921236,0.0
47,1,0.1,0.2,2,0.15763212245371783,0.0
47,2,0.2,0.30000000000000004,0,,
47,3,0.30000000000000004,0.4,1,0.32350146824024484,1.0
47,4,0.4,0.5,0,,
47,5,0.5,0.6000000000000001,0,,
47,6,0.6000000000000001,0.7000000000000001,0,,
47,7,0.7000000000000001,0.8,0,,
47,8,0.8,0.9,0,,
47,9,0.9,1.0,8,0.9843014111516208,1.0
48,0,0.0,0.1,5,0.027356183299235403,0.0
48,1,0.1,0.2,3,0.14501344003503855,0.0
48,2,0.2,0.30000000000000004,0,,
48,3,0.30000000000000004,0.4,0,,
48,4,0.4,0.5,0,,
48,5,0.5,0.6000000000000001,0,,
48,6,0.6000000000000001,0.7000000000000001,0,,
48,7,0.7000000000000001,0.8,0,,
48,8,0.8,0.9,0,,
48,9,0.9,1.0,6,0.9589206082948629,1.0
49,0,0.0,0.1,6,0.0315036619323287,0.0
49,1,0.1,0.2,1,0.14058623041836177,0.0
49,2,0.2,0.30000000000000004,2,0.24423755352475351,1.0
49,3,0.30000000000000004,0.4,1,0.3099995752855074,1.0
49,4,0.4,0.5,0,,
49,5,0.5,0.6000000000000001,0,,
49,6,0.6000000000000001,0.7000000000000001,0,,
49,7,0.7000000000000001,0.8,0,,
49,8,0.8,0.9,0,,
49,9,0.9,1.0,4,0.981122807388164,1.0
